factor,target,group,mean,median,std,count,win_rate,monotonic,spread
dist_to_rope_atr,ret_20,Q5,0.02028645742179214,0.0044004400440045,0.16731799445958637,12671,0.5200063136295477,False,0.003571894739955273
event_index,hold_ret,Q1,0.002989127852765833,-0.009803921568627484,0.07361507613303286,21306,0.3166244250445884,False,0.034095205975152
event_index,hold_ret,Q2,-0.010109696682983263,-0.03037004434011472,0.10446062482749258,21268,0.29457400789919125,False,0.034095205975152
event_index,hold_ret,Q3,0.023985509292168736,-0.013274336283185756,0.1426141139858734,21335,0.4454651980314038,False,0.034095205975152
event_index,hold_ret,Q4,0.009264351813508489,-0.026094134656715253,0.14255976574546414,21514,0.3687366366087199,False,0.034095205975152
event_index,hold_ret,Q5,0.013087394437609891,-0.021961184882533184,0.1567136020471208,20989,0.36790699890418793,False,0.034095205975152
event_index,ret_5,Q1,-0.006155231073152141,-0.0073128618426916495,0.06672623399806747,21306,0.42598329109171124,False,0.029132506285549527
event_index,ret_5,Q2,-0.004006110890272668,-0.006450928278938501,0.0775366866426333,21270,0.4292430653502586,False,0.029132506285549527
event_index,ret_5,Q3,0.022977275212397386,0.0074534161490682,0.1073081053551639,21337,0.5443126962553311,False,0.029132506285549527
event_index,ret_5,Q4,0.0051175767728241514,-0.005,0.09430153017636468,21515,0.4534975598419707,False,0.029132506285549527
event_index,ret_5,Q5,0.006003119839287358,-0.0031762846381488997,0.08849831430312853,21012,0.4692556634304207,False,0.029132506285549527
event_index,ret_10,Q1,0.0040965287499357935,0.0018700527531477,0.09004584325045799,21306,0.5094808973997935,False,0.02838772938413644
event_index,ret_10,Q2,-0.007915177971457837,-0.011024132683803551,0.1032881685347829,21190,0.42340726757904673,False,0.02838772938413644
event_index,ret_10,Q3,0.0204725514126786,0.0096083282863663,0.1278570987868908,21204,0.5471137521222411,False,0.02838772938413644
event_index,ret_10,Q4,0.013960014616499105,-0.0006811989100817,0.13182330863175537,21211,0.4930460610060817,False,0.02838772938413644
event_index,ret_10,Q5,0.01222313179301698,-0.0015090543259556,0.12360191640945181,21179,0.4878889465980452,False,0.02838772938413644
event_index,ret_20,Q1,0.03407326507625319,0.02712403081572485,0.11871593323955049,21184,0.6149924471299094,False,0.05981395169038024
event_index,ret_20,Q2,-0.01773165532821925,-0.0225856697819314,0.13751020469689446,21019,0.39868690232646653,False,0.05981395169038024
event_index,ret_20,Q3,0.042082296362160994,0.02140125778827555,0.19227896621789778,21046,0.5565428109854604,False,0.05981395169038024
event_index,ret_20,Q4,0.014281421088504767,-0.0030211480362538,0.17197916069814356,20977,0.48615149926109547,False,0.05981395169038024
event_index,ret_20,Q5,0.0245676756883896,0.00045649205160655,0.1840069143449407,21048,0.5004275940706956,False,0.05981395169038024
event_seq,hold_ret,Q1,0.0012870849473164711,-0.010909090909090839,0.07542394488456586,24900,0.31421686746987953,False,0.02089669816235962
event_seq,hold_ret,Q2,-0.0049619904859043934,-0.02837998075933499,0.10984166763213148,19768,0.32183326588425737,False,0.02089669816235962
